Array_int [1] - 60	Array_double[1] - 64.95
Array_int [2] - 29	Array_double[2] - 53.83
Array_int [3] - 55	Array_double[3] - 29.83
Array_int [4] - 44	Array_double[4] - 29.29
Array_int [5] - 31	Array_double[5] - 57.79
Array_int [6] - 36	Array_double[6] - 55.47
Array_int [7] - 42	Array_double[7] - 31.15
Array_int [8] - 58	Array_double[8] - 37.66
Array_int [9] - 66	Array_double[9] - 31.80
Array_int [10] - 45	Array_double[10] - 28.02
Array_int [11] - 50	Array_double[11] - 66.03
Array_int [12] - 37	Array_double[12] - 48.64
Array_int [13] - 56	Array_double[13] - 33.34
Array_int [14] - 67	Array_double[14] - 65.81
Array_int [15] - 51	Array_double[15] - 32.73
Array_int [16] - 40	Array_double[16] - 60.22
Array_int [17] - 55	Array_double[17] - 65.80
Array_int [18] - 31	Array_double[18] - 59.20
Array_int [19] - 26	Array_double[19] - 64.22
Array_int [20] - 36	Array_double[20] - 67.98
Array_int [21] - 62	Array_double[21] - 55.44
Array_int [22] - 26	Array_double[22] - 38.87
Array_int [23] - 26	Array_double[23] - 59.53
Array_int [24] - 32	Array_double[24] - 35.92
Array_int [25] - 58	Array_double[25] - 30.29
Array_int [26] - 51	Array_double[26] - 52.99
Array_int [27] - 43	Array_double[27] - 57.77
Array_int [28] - 51	Array_double[28] - 48.48
Array_int [29] - 55	Array_double[29] - 56.63
Array_int [30] - 27	Array_double[30] - 40.76
Array_int [31] - 57	Array_double[31] - 63.85
Array_int [32] - 61	Array_double[32] - 42.90
